sentence_id,screening,label,text
16,-3,-1,I think we've seen a deterioration of values.
18,-3,-1,"For a while, as I recall, it even seems to me that there was talk of legalizing or decriminalizing marijuana and other drugs, and I think that's all wrong."
20,-3,-1,"We got away, we got into this feeling that value- free education was the thing."
22,-3,-1,"And, of course, as far as the how we make it better, yes, we can do better on interdiction."
24,-3,-1,We've got to get after the users more.
25,-3,-1,We have to change this whole culture.
30,-3,-1,"Entertainment industry, people involved in the schools, education."
31,-3,-1,And it isn't a Republican or a Democrat or a liberal problem.
32,-3,-1,But we have got to instill values in these young people.
34,-3,-1,"But I think we're all in this together, and my plea to the American people is values in the schools."
36,-3,-1,I agree with Mr. Bush that values are important.
38,-3,-1,That means those of us who are elected to positions of political leadership have to reflect those values ourselves.
39,-3,1,Here we are with a government that's been dealing with a drug-running Panamanian dictator.
41,-3,-1,Governors like me and others have been trying to deal with the consequences.
42,-3,0,"I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help."
46,-3,-1,Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.
50,-3,-1,"I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention."
52,-3,-1,"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you."
54,-3,-1,But we also have to take demand seriously.
55,-3,1,"You know, we have five percent of the world's population in this country."
56,1,1,We're consuming 50 percent of the world's cocaine.
57,-3,-1,Doing better in the neighborhoods.
60,-3,-1,I agree with Mr. Bush that values are important.
61,-3,-1,But it's important that our leaders demonstrate those values from the top.
65,-3,-1,Governors like me and others have been trying to deal with the consequences.
69,-3,-1,"Values begin at the top, in the White House."
